llm_model_name,tensor_parallelism_degree,max_requests_per_batch,max_tokens_per_batch,arrival_rate,num_warmup_requests,step_idx,is_warmup_step,timestamp,num_inference_requests,num_prefilling_tokens,num_decoding_tokens,num_finetuning_fwd_tokens,num_finetuning_bwd_tokens,num_bwd_layers
meta-llama/llama-3.1-70b,4,8,256,0,10,145,0,126425723,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,146,0,126485062,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,147,0,126547274,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,148,0,126605222,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,149,0,126666696,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,150,0,126726534,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,151,0,126788219,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,152,0,126846598,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,153,0,126906887,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,154,0,126965913,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,155,0,127029078,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,156,0,127089525,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,157,0,127148920,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,158,0,127205589,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,159,0,127265922,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,160,0,127324946,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,161,0,127386391,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,162,0,127445505,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,163,0,127521057,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,164,0,127584174,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,165,0,127645204,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,166,0,127706285,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,167,0,127767467,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,168,0,127824996,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,169,0,127886249,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,170,0,127949162,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,171,0,128009159,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,172,0,128070770,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,173,0,128131212,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,174,0,128191721,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,175,0,128252470,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,176,0,128317633,8,0,8,0,0,0
