llm_model_name,dataset_name,tensor_parallelism_degree,max_requests_per_batch,max_tokens_per_batch,arrival_rate,num_warmup_requests,request_guid,is_warmup_request,timestamp,decoding_step_idx
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,61915652,24
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,61915652,20
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,61915652,16
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,61915652,12
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,61915652,8
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,61915652,4
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,61915652,0
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,61989936,29
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,62016374,25
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,62016375,21
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,62016375,17
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,62016375,13
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,62016375,9
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,62016375,5
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,62016375,1
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000008,1,62016390,-1
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,62085242,26
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,62085242,22
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,62085242,18
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,62085242,14
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,62085242,10
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,62085243,6
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,62085243,2
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,62156228,27
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,62156228,23
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,62156228,19
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,62156228,15
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,62156228,11
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,62156228,7
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,62156228,3
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,62230496,28
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,62230496,24
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,62230496,20
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,62230496,16
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,62230496,12
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,62230496,8
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,62230497,4
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,62308761,29
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,62318171,25
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,62318172,21
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,62318172,17
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,62318172,13
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,62318172,9
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,62318172,5
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000009,1,62318185,-1
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000008,1,62394459,0
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,62394459,26
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,62394460,22
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,62394460,18
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,62394460,14
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,62394460,10
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,62394460,6
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000008,1,62461554,1
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,62461554,27
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,62461554,23
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,62461554,19
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,62461554,15
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,62461554,11
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,62461554,7
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000008,1,62531812,2
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,62531813,28
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,62531813,24
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,62531813,20
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,62531813,16
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,62531814,12
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,62531814,8
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000008,1,62608175,3
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,62608176,29
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,62621214,25
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,62621214,21
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,62621214,17
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,62621215,13
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,62621215,9
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000008,1,62705563,4
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000009,1,62705564,0
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,62705564,26
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,62705564,22
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,62705564,18
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,62705564,14
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,62705564,10
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000008,1,62781201,5
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000009,1,62781202,1
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,62781202,27
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,62781202,23
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,62781202,19
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,62781202,15
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,62781202,11
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000008,1,62862336,6
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000009,1,62862336,2
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,62862336,28
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,62862336,24
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,62862336,20
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,62862337,16
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,62862337,12
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000008,1,62950745,7
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000009,1,62950745,3
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,62950746,29
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,62956404,25
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,62956404,21
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,62956404,17
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,62956404,13
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000008,1,63049428,8
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000009,1,63049429,4
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,63049429,26
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,63049429,22
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,63049429,18
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,63049429,14
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000008,1,63147467,9
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000009,1,63147467,5
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,63147467,27
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,63147467,23
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,63147467,19
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,63147467,15
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000008,1,63250335,10
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000009,1,63250335,6
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,63250335,28
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,63250336,24
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,63250336,20
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,63250336,16
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000008,1,63356671,11
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000009,1,63356671,7
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,63356671,29
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,63373148,25
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,63373149,21
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,63373149,17
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000008,1,63939649,12
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000009,1,63939655,8
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,63939655,26
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,63939655,22
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,63939655,18
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000008,1,64009376,13
